N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2021;entrées 2020;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
20203;NACELLES;AUVERGNE / RHONE-ALPES;BD DE L EUROPE;07010;Annonay;16912.0;07;07401;Annonay;27999.0;05-Unités urbaines de 20 000 à 100 000 hbts;4.0;525.0;32.0;1960.0;41564.0;24580.0;69.09682668836452;De 40 à 50 000 entrées;BAUCINE;;OUI;D;;FIXE;NON;C;152.0;126.0;69.0;44.19942989297047;44.43876727800785;10.076372828483839;1.285430000537837;55.0;13.381380089280912;45.242757;4.670325;45.242757, 4.670325
52141;PLAZZA VICTOR HUGO;BOURGOGNE / FRANCHE-COMTE;6 RUE GAMBETTA;25056;Besançon;120032.0;25;25602;Besançon;139365.0;04-Unités urbaines de 100 000 hbts ou plus;3.0;337.0;32.0;2868.0;35225.0;35703.0;-1.3388230680895163;De 30 à 40 000 entrées;SAUCIER COLARD CHARLOTTE;;OUI;B;RDJPPR;FIXE;NON;C;130.0;92.0;81.0;58.693799275516724;19.127778961573974;14.766673769443853;7.411747993465445;87.0;93.9022657859223;47.240015;6.025346;47.240015, 6.025346
67312;CASINO;AUVERGNE / RHONE-ALPES;2 RUE DU PARC;03036;Bourbon-l'Archambault;2638.0;03;03102;Bourbon-l'Archambault;2638.0;06-autres communes et unités urbaines;1.0;124.0;32.0;133.0;1356.0;1368.0;-0.8771929824561403;Moins de 2000 entrées;S.E.C.B.A. SA SOCIETE D EXPLOITATION DU CASINO DE BOURBON-L ARCH;VEO (Baron);NON;NON;;FIXE;NON;I;40.0;35.0;0.0;81.44159072079536;8.782104391052195;7.953603976801989;1.8227009113504555;14.0;28.997514498757248;46.585435;3.054345;46.585435, 3.054345
76073;LES ALIZES;AUVERGNE / RHONE-ALPES;214  AV FRANKLIN ROOSEVELT;69029;Bron;42625.0;69;00758;Lyon;1696765.0;04-Unités urbaines de 100 000 hbts ou plus;2.0;345.0;29.0;1581.0;30999.0;23477.0;32.03986880776931;De 30 à 40 000 entrées;ASSOCIATION LES AMIS DU CINEMA;;OUI;C;RDJPPR;FIXE;NON;B;160.0;118.0;41.0;73.11218388768324;15.36383365073741;11.26267770937597;0.2613047522033748;71.0;47.69476061827362;45.731192;4.914994;45.731192, 4.914994
95076;MEGARAMA;BOURGOGNE / FRANCHE-COMTE;1 RUE RENE CASSIN;71076;Chalon-sur-Saône;46316.0;71;71501;Chalon-sur-Saône;76866.0;05-Unités urbaines de 20 000 à 100 000 hbts;12.0;1637.0;32.0;12519.0;254702.0;154675.0;64.66914498141264;De 200 à 300 000 entrées;CINEMA RITZ;AGORA;NON;NON;;FIXE;OUI;C;248.0;212.0;177.0;41.757165856236355;43.7636465677218;13.128971074397095;1.3502165016447571;98.0;12.402656190472289;46.775786;4.864432;46.775786, 4.864432
95732;CINEMASCOOP;AUVERGNE / RHONE-ALPES;18 RUE DE LA POSTE;43051;Le Chambon-sur-Lignon;2497.0;43;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;2.0;196.0;31.0;716.0;6875.0;4247.0;61.87897339298328;De 5 à 10 000 entrées;CINEMA SCOOP;;OUI;E;RDJP;FIXE;NON;R;152.0;123.0;1.0;65.59589431666983;18.646645124501045;11.290629157954761;4.466831400874359;79.0;55.540771716403725;45.061194;4.302941;45.061194, 4.302941
102531;CINÉMA DE CHARMOILLE;BOURGOGNE / FRANCHE-COMTE;1 RUE DU CONOT;25125;Charmoille;332.0;25;00000;Zone rurale;14862638.0;04-Unités urbaines de 100 000 hbts ou plus;1.0;212.0;29.0;159.0;4040.0;3208.0;25.935162094763093;De 2 à 5 000 entrées;CINEMA DE CHARMOILLE;MC4 (Gardebosc);OUI;E;;FIXE;NON;R;87.0;77.0;0.0;65.29579247073711;27.681113571654542;6.327111673521038;0.6959822840873141;29.0;19.99367288832648;47.246351;6.672576;47.246351, 6.672576
106673;CINE ACTION PALACE;BOURGOGNE / FRANCHE-COMTE;50 RUE CENTRALE;71120;Chauffailles;3769.0;71;00258;Chauffailles;6330.0;06-autres communes et unités urbaines;1.0;147.0;32.0;608.0;6255.0;4188.0;49.355300859598856;De 5 à 10 000 entrées;CINE ACTION PALACE;;OUI;E;JPPR;FIXE;NON;C;124.0;110.0;4.0;51.086329552009225;30.013458950201883;18.765621995770044;0.13458950201884254;38.0;21.841953470486445;46.206256;4.339632;46.206256, 4.339632
114720;LE PARIS;AUVERGNE / RHONE-ALPES;RUE BARRIERE DE JAUDE;63113;Clermont-Ferrand;149464.0;63;63701;Clermont-Ferrand;277993.0;04-Unités urbaines de 100 000 hbts ou plus;7.0;1162.0;32.0;7333.0;94074.0;52380.0;79.59908361970217;De 80 à 100 000 entrées;LE PARIS;LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;NON;C;118.0;98.0;99.0;35.03149519283898;48.13018013040115;14.203779423140677;2.6345452536191845;14.0;11.395734335285667;45.774394;3.08166;45.774394, 3.08166
114727;CGR CLERMONT FERRAND VAL ARENA;AUVERGNE / RHONE-ALPES;210 Boulevard Etienne Clementel;63113;Clermont-Ferrand;149464.0;63;63701;Clermont-Ferrand;277993.0;04-Unités urbaines de 100 000 hbts ou plus;12.0;2218.0;32.0;14282.0;147887.0;82484.0;79.2917414286407;De 100 à 150 000 entrées;PROCHIMAT SARL;LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;OUI;C;156.0;138.0;139.0;33.08415654822618;51.54466319216421;13.792284368930682;1.5788958906789254;19.0;5.925051349047772;45.807582;3.109175;45.807582, 3.109175
