name,lat,lon
Pharmacie Eymard,45.87454610036151,-0.963297
,46.12987420245053,-1.079639032334586
Pharmacie de l'Arnoult,45.8296065003681,-0.8669229999999999
Pharmacie Océane,46.20636101857741,-1.520723175263987
Pharmacie Rigondaud,45.94325160035121,-0.8903272000000001
Pharmacie du Château,45.820536500369414,-0.7830475
Pharmacie des Oiseaux de Mer,46.184678800312916,-1.1563491999999997
Pharmacie des Augustins,45.8759845003613,-0.6786539999999999
Pharmacie Ameline-Capon-Granier,45.86644480036271,-0.3111151
Pharmacie l'Olympia,45.746384500379996,-0.621186
Pharmacie des Thermes,45.67578830038978,-0.9243626999999999
Pharmacie Anne Chardonnet,46.15935950031709,-1.1659255
Pharmacie Festal,45.30462469104258,-0.23266070606096456
Pharmacie Guequière,45.93577781027593,-0.9622087018082964
Pharmacie Fabier Baril,45.72656010038278,-0.9437204999999997
Pharmacie de Puilboreau,46.18416650031301,-1.1196187
,45.967689000347484,-1.3484983999999998
Pharmacie Bonneau,45.55782620040546,-0.40290879999999996
Pharmacie Du Chateau,45.28585470043845,-0.4103898
Pharmacie Levraud - Guillien,45.21709070044607,-0.18832319999999997
Pharmacie de la Poste,45.62494580039664,-1.024058
Pharmacie Colbert,45.937154800352126,-0.9610790999999999
Pharmacie de la Boutonne,45.966473200347686,-0.7102579
Pharmacie Grizet,46.10465120032598,-1.1097847
Pharmacie de Saint-Just,45.80095750037225,-1.0507362
Pharmacie du Gabut,46.15547870031774,-1.1497899
Pharmacie de Rompsay,46.16750460031575,-1.1113935999999998
Pharmacie Coustau-Sire,45.73266920038192,-1.0995501
Pharmacie Le Simple,45.93486660035248,-0.960695
Pharmacie Saint Genis,45.481156400415216,-0.5693284
Pharmacie de la Source,45.43639990042073,-0.4529828000000001
Pharmacie du Front de Mer,45.62385770039679,-1.0288665
,45.69627560038696,-1.0480373
Pharmacie De Suède,46.161526100316735,-1.1622851
Pharmacie du Marché,45.944131500351084,-0.5205416
Pharmacie Bureau - Lambert,45.6257965003965,-0.4631895999999999
Pharmacie des Arènes,45.753539900378996,-0.6519428
Pharmacie Asenjo,46.18806610031237,-1.0655601
Pharmacie la Gontaise,45.7127430003847,-0.6110633
Pharmacie Blancato,45.95195860034989,-0.8960837
Pharmacie Saint Louis,45.924531600354044,-0.9587808000000001
Pharmacie Champagne,46.16030830031693,-1.1510233999999997
Forme & Beauté,46.11112880032492,-1.1041612999999997
,46.15166760031835,-1.1229342999999998
Pharmacie Grosdenier,45.74705968218745,-0.6340725326646938
Pharmacie Amarot,45.13038320045527,-0.205654
Pharmacie Potin,46.18604360031269,-1.1180514
Life Pharmacy,45.52054650041024,-0.3051515
Pharmacie Sautel,46.16698360031583,-1.1354622999999997
Pharmacie de la Cathédrale,45.745061200380185,-0.6323116
Pharmacie Couprie,45.822374300369155,-0.4816532999999999
,46.3017060002932,-1.0959112999999998
Pharmacie des Charmilles,46.13384673309537,-1.1175846270041705
Pharmacie Champion,45.83722473638886,-0.6402053668862301
Pharmacie du Centre,46.03649400033681,-0.8290378999999999
Pharmacie Alsace-Lorraine,45.746722000379954,-0.6335873
Pharmacie Lakhtara-Heraud,45.56951650040394,-0.6763654
Pharmacie du Fief du Roy,45.63504510039529,-1.0282833
Pharmacie Martin,46.253898200301364,-1.0270423
Pharmacie Centrale,45.373661600428285,-0.5708643999999999
Pharmacie Barbotin,45.649086800393405,-0.8069188999999999
Pharmacie des Bujoliers,45.765497200377304,-0.49553529999999996
Pharmacie du Centre,45.67322420039013,-0.9241126
Pharmacie de Cordouan,45.643231600394195,-1.0894305
Pharmacie des Minimes,46.14004940032022,-1.1645267
Pharmacie Vidal,46.13976150032029,-0.7342315
Pharmacie JAY,46.14723530031906,-1.1434088
Pharmacie Festal,45.304612600436315,-0.23271520000000004
Pharmacie du Canton,45.76951150037673,-1.1413716
Pharmacie Devanne,45.896356400358265,-0.7956172999999999
Pharmacie des Parcs,46.16308380031648,-1.1635705999999997
Pharmacie Moreau Favreau,46.17389650031469,-1.1453398
Pharmacie de la Sacristinerie,45.94553620035087,-0.5057160999999999
Pharmacie Tuffier,45.58370090040208,-0.8361613999999999
Pharmacie Vidal,45.88643100470683,-1.1967453138449504
Pharmace des Quatr'anes,45.95465550034946,-0.9769276
Pharmacie de l'Océan,45.648814600393436,-1.0252985
Pharmacie du Coidrat,45.70053220038637,-0.7798932999999999
Pharmacie de la Gare,45.74644000037999,-0.6186656
Pharmacie du Moulin Rose,45.94760380035056,-0.9108955999999999
Pharmacie de la Porte Royale,46.16296091473101,-1.139240449748713
Pharmacie Vermande,46.075603300330606,-0.7957350999999999
,46.13896180032042,-1.1442660999999998
,46.188371644847116,-1.0670947169172214
Pharmacie du Pertuis,46.14547660031935,-1.1427742
Pharmacie de Didonne,45.61431820039805,-0.9907827
Pharmacie de la Poste,45.579704545079196,-0.5472703429562472
Pharmacie Centrale,46.310190100291756,-0.9920172000000002
Pharmacie de Pontaillac,45.62706200039634,-1.0512968
Pharmacie de la Coubre,45.68978390038787,-1.1807897999999997
Pharmacie Pateau,46.11625990032409,-0.9340246
Pharmacie des Ormeaux,45.740144400380856,-0.8144984
Pharmacie Landré,45.846444300365654,-1.1490971999999997
Pharmacie Baudry Peyrard,46.15525310031778,-1.0962215
Pharmacie Principale,45.74718900037988,-0.6314956999999999
Pharmacie Imbert Belin,45.88296750036025,-0.1866621
Pharmacie de Breuillet,45.691832900387574,-1.0534531999999999
Pharmacie de Bellevue,45.73259540038194,-0.6438789
Pharmacie de Foncillon,45.62189090039704,-1.0327738999999998
Pharmacie de la Grosse Horloge,46.1586230003172,-1.1540013
Pharmacie Guelou et Paillet,46.07414841768448,-1.0900348398784656
La pharmacie des Thermes,45.44888330041919,-0.43769139999999995
Pharmacie du Marché,46.07218620033116,-1.0900837999999997
Pharmacie Duperat Agussan,46.020858500339266,-0.34657319999999997
Pharmacie des Pêcheurs d'Islande,45.94544570035089,-0.9867175
Pharmacie des Palmiers,46.03286750033738,-1.3800220999999997
Pharmacie de la Halle,45.987821300344386,-1.0941185000000002
Pharmacie Grignon,46.21562635032369,-0.887053950004524
Pharmacie Poumailloux,45.624886200396645,-1.0295027
Pharmacie Griolet Coïc,45.768954600376816,-1.141651
Pharmacie des thermes,45.94509280035093,-0.9603954999999998
Pharmacie Grandjean Laurent,46.2047493003096,-1.1020015999999997
Pharmacie Brochard-Loumeau,46.24332680030312,-0.8130635
Pharmacie Lafayette de l'Abbaye,45.741482100380686,-0.6238271
,45.94567650035084,-1.3177341999999999
Pharmacie des Halles,45.285298400438506,-0.4101242
Pharmacie L'Océane,46.08424560032924,-1.0741469
Pharmacie du Haras,45.74517090038016,-0.6127822
Pharmacie Courtois,46.187172400312505,-1.0118956999999997
Pharmacie Surbier,46.09286130032787,-0.5040786999999999
Pharmacie du Golf,45.76362280037757,-0.5860893
Pharmacie de Chaniers,45.717808300384,-0.5561656999999999
Pharmacie des Minotiers,45.482754000415014,-0.7851515
Pharmacie de l'Hermitage,46.18139440031347,-1.1554476
Pharmacie Autin,45.76607910037723,-0.7091009
